"GEOIDFQ","Name","ST","Square_Miles","Latitude","Longitude","Electoral_College","Winner_2024","Votes_Dem_2024","Percent_Dem_2024","Votes_GOP_2024","Percent_GOP_2024","Votes_Other_2024","Percent_Other_2024","Winner_2020","Votes_Dem_2020","Percent_Dem_2020","Votes_GOP_2020","Percent_GOP_2020","Votes_Other_2020","Percent_Other_2020","Winner_2016","Votes_Dem_2016","Percent_Dem_2016","Votes_GOP_2016","Percent_GOP_2016","Votes_Other_2016","Percent_Other_2016","Winner_2012","Votes_Dem_2012","Percent_Dem_2012","Votes_GOP_2012","Percent_GOP_2012","Votes_Other_2012","Percent_Other_2012","Senate1_Name","Senate1_Party","Senate1_Year","Senate1_Votes","Senate1_Percent","Senate2_Name","Senate2_Party","Senate2_Year","Senate2_Votes","Senate2_Percent","Senate3_Name","Senate3_Party","Senate3_Year","Senate3_Votes","Senate3_Percent","Total_Population","Median_Household_Income","Median_Age","Percent_Under_18","Percent_Bachelors_Degree"
"0400000US25","Massachusetts","MA",7801,42.26,-71.8,11,"Kamala D. Harris",2126518,61.22,1251303,36.02,95847,2.76,"Joseph R. Biden",2382202,65.12,1167202,31.91,108601,2.97,"Hillary R. Clinton",1995196,59.05,1090893,32.29,292712,8.66,"Barack H. Obama",1921290,60.34,1188314,37.32,74592,2.34,"Elizabeth Ann Warren","Democratic",2024,2041668,59.81,"Edward J. Markey","Democratic",2020,2357809,66.15,,,,,,6992395,101341,40,19.6,25.3
"0400000US26","Michigan","MI",56610,44.32,-85.38,15,"Donald J. Trump",2736533,48.31,2816636,49.73,111017,1.96,"Joseph R. Biden",2804040,50.62,2649852,47.84,85410,1.54,"Donald J. Trump",2268839,47.27,2279543,47.5,250902,5.23,"Barack H. Obama",2564569,54.39,2115256,44.86,35017,0.75,"Elissa Slotkin","Democratic",2024,2712686,48.64,"Gary C. Peters","Democratic",2020,2734568,49.9,,,,,,10051595,71149,40.1,21.4,19.3
"0400000US27","Minnesota","MN",79631,46.28,-94.31,10,"Kamala D. Harris",1656979,50.92,1519032,46.68,77909,2.4,"Joseph R. Biden",1717077,52.4,1484065,45.28,76029,2.32,"Hillary R. Clinton",1365858,46.48,1319118,44.89,253735,8.63,"Barack H. Obama",1539199,52.75,1309156,44.86,69653,2.39,"Amy Klobuchar","Democratic",2024,1792441,56.2,"Tina Smith","Democratic",2020,1566522,48.74,,,,,,5713716,87556,38.6,23.1,25.3
"0400000US28","Mississippi","MS",46924,32.74,-89.67,6,"Donald J. Trump",466668,38,747744,60.89,13596,1.11,"Donald J. Trump",539398,41.06,756764,57.6,17597,1.34,"Donald J. Trump",485131,40.11,700714,57.94,23512,1.95,"Mitt Romney",562949,43.79,710746,55.29,11889,0.92,"Roger F. Wicker","Republican",2024,763420,62.81,"Cindy Hyde-Smith","Republican",2020,709511,54.11,,,,,,2951438,54915,38.4,23.5,14.7
"0400000US29","Missouri","MO",68746,38.36,-92.46,10,"Donald J. Trump",1200599,40.08,1751986,58.49,42742,1.43,"Donald J. Trump",1253014,41.41,1718736,56.8,54212,1.79,"Donald J. Trump",1071068,38.14,1594511,56.77,143026,5.09,"Mitt Romney",1223796,44.38,1482440,53.76,51087,1.86,"Josh Hawley","Republican",2024,1651907,55.57,,,,,,"Eric Schmitt","Republican",2022,1146966,55.43,6168181,68920,38.9,22.5,19.6
"0400000US30","Montana","MT",145549,47.05,-109.63,4,"Donald J. Trump",231906,38.46,352079,58.39,18978,3.15,"Donald J. Trump",244786,40.55,343602,56.92,15252,2.53,"Donald J. Trump",177709,35.94,279240,56.47,37577,7.59,"Mitt Romney",201839,41.71,267928,55.36,14165,2.93,"Tim Sheehy","Republican",2024,319682,52.64,"Steve Daines","Republican",2020,333174,55.01,,,,,,1105072,69922,40.2,21.3,22.8
"0400000US31","Nebraska","NE",76815,41.54,-99.79,5,"Donald J. Trump",369995,38.86,564816,59.32,17371,1.82,"Donald J. Trump",374583,39.36,556846,58.51,20283,2.13,"Donald J. Trump",284494,33.7,495961,58.75,63772,7.55,"Mitt Romney",302081,38.03,475064,59.8,17234,2.17,"Deb Fischer","Republican",2024,499124,53.19,"Pete Ricketts","Republican",2024,585103,62.58,,,,,,1965926,74985,37.1,24.7,22.2
"0400000US32","Nevada","NV",109860,39.33,-116.63,6,"Donald J. Trump",705197,47.49,751205,50.59,28438,1.92,"Joseph R. Biden",703486,50.06,669890,47.67,32000,2.27,"Hillary R. Clinton",539260,47.92,512058,45.5,74067,6.58,"Barack H. Obama",531373,52.36,463567,45.68,19978,1.96,"Jacky S. Rosen","Democratic",2024,701105,47.87,,,,,,"Catherine Cortez Masto","Democratic",2022,498316,48.81,3141000,75561,38.9,22.1,17.8
"0400000US33","New Hampshire","NH",8954,43.68,-71.58,4,"Kamala D. Harris",418488,50.65,395523,47.87,12178,1.48,"Joseph R. Biden",424921,52.86,365654,45.49,13235,1.65,"Hillary R. Clinton",348526,47.6,345790,47.22,37951,5.18,"Barack H. Obama",369561,51.98,329918,46.4,11493,1.62,,,,,,"Jeanne Shaheen","Democratic",2020,450778,56.64,"Margaret Wood Hassan","Democratic",2022,332490,53.54,1387834,95628,43.2,18.5,24.1
"0400000US34","New Jersey","NJ",7355,40.18,-74.66,14,"Kamala D. Harris",2220713,51.97,1968215,46.06,83797,1.97,"Joseph R. Biden",2608335,57.33,1883274,41.4,57744,1.27,"Hillary R. Clinton",2148278,55.45,1601933,41.35,123835,3.2,"Barack H. Obama",2125101,58.38,1477568,40.59,37623,1.03,"Andy Kim","Democratic",2024,2161491,53.61,"Cory A. Booker","Democratic",2020,2541178,57.23,,,,,,9267014,101050,40.1,21.9,25.8
"0400000US35","New Mexico","NM",121312,34.41,-106.11,5,"Kamala D. Harris",478802,51.85,423391,45.85,21169,2.3,"Joseph R. Biden",501614,54.29,401894,43.5,20457,2.21,"Hillary R. Clinton",385234,48.26,319667,40.04,93418,11.7,"Barack H. Obama",415335,52.81,335788,42.69,35399,4.5,"Martin Heinrich","Democratic",2024,497333,55.06,"Ben Ray Luján","Democratic",2020,474483,51.73,,,,,,2114768,62125,39.2,22.1,16.6
"0400000US36","New York","NY",47123,42.94,-75.51,28,"Kamala D. Harris",4619195,55.91,3578899,43.31,64401,0.78,"Joseph R. Biden",5230985,60.39,3244798,37.46,185952,2.15,"Hillary R. Clinton",4556118,59.48,2819533,36.81,284533,3.71,"Barack H. Obama",4485741,63.43,2490431,35.22,95562,1.35,"Kirsten E. Gillibrand","Democratic",2024,4711298,58.91,,,,,,"Charles E. Schumer","Democratic",2022,3320561,56.74,19872319,84578,39.6,20.7,22
"0400000US37","North Carolina","NC",48624,35.55,-79.37,16,"Donald J. Trump",2715375,47.65,2898423,50.86,85343,1.49,"Donald J. Trump",2684292,48.59,2758773,49.93,81737,1.48,"Donald J. Trump",2189316,46.17,2362631,49.83,189617,4,"Mitt Romney",2178391,48.35,2270395,50.39,56586,1.26,,,,,,"Thom Tillis","Republican",2020,2665598,48.69,"Ted Budd","Republican",2022,1905786,50.5,10584340,69904,39.1,21.9,21.8
"0400000US38","North Dakota","ND",68994,47.45,-100.47,3,"Donald J. Trump",112327,30.51,246505,66.96,9323,2.53,"Donald J. Trump",114902,31.76,235595,65.11,11322,3.13,"Donald J. Trump",93758,27.23,216794,62.96,33808,9.81,"Mitt Romney",124827,38.69,188163,58.32,9637,2.99,"Kevin  Cramer","Republican",2024,241569,66.31,,,,,,"John Hoeven","Republican",2022,135474,56.41,779361,75949,35.7,23.7,22.7
"0400000US39","Ohio","OH",40859,40.29,-82.79,17,"Donald J. Trump",2533699,43.93,3180116,55.14,53973,0.93,"Donald J. Trump",2679165,44.85,3154834,52.81,140122,2.34,"Donald J. Trump",2394164,42.69,2841005,50.66,372472,6.65,"Barack H. Obama",2827709,50.19,2661439,47.24,144869,2.57,"Bernie Moreno","Republican",2024,2857383,50.09,,,,,,"JD Vance (Jon Husted)","Republican",2022,2192114,53.03,11780046,69680,39.6,22.2,19
